,negaTran,posiTran,mixTran,neuTran,PosAndNeg,MixAndPos,MixAndNeg,MixAndNeu,NeuAndPos,NeuAndNeg
ope,-0.13,-0.09,-0.08,0.01,-0.05,0.05,0.02,0.15,0.07,0.15
con,-0.03,0.15,-0.04,-0.21,0.06,0.13,0.10,-0.09,-0.14,-0.11
ext,-0.03,0.28,0.04,-0.20,0.02,0.12,-0.06,-0.12,-0.15,-0.19
agr,-0.28,0.20,0.04,-0.18,-0.07,0.23,0.25,0.11,0.03,-0.27
neu,0.13,0.02,0.09,-0.03,0.15,-0.14,-0.11,-0.08,0.02,-0.12
swl,-0.02,-0.10,-0.04,0.08,0.03,0.10,0.09,-0.02,0.09,-0.07
CESD,0.10,0.00,0.03,0.02,-0.03,-0.06,-0.14,0.02,-0.09,0.11
