,frequency ,,,transition states,,
,SilenceDays,lyrics,,emptyTrans,lyricsTran,lyricsEmpty
ope,-0.11,-0.16,,0.08,-0.27,-0.04
con,-0.05,-0.15,,0.15,-0.07,-0.15
ext,-0.05,-0.04,,0.00,-0.13,0.02
agr,-0.10,-0.10,,0.14,-0.08,-0.14
neu,0.11,0.23,,-0.15,0.27,0.12
swl,-0.08,-0.22,,0.19,-0.10,-0.20
CESD_sum,0.11,0.33,,-0.32,0.32,0.29
