,NegativePosts,PositivePosts,NeutralPosts,MixedPosts,ope,con,ext,agr,neu,swl,CESD_sum
NegativePosts,1.0,0.604549993452839,0.6101380823418046,0.47844708650911466,-0.14413986397519302,-0.018505023235230796,-0.1218739635853852,-0.27024300865971707,0.17636240158501168,-0.10798035937867428,0.14292575264009313
PositivePosts,0.604549993452839,1.0,0.3145253685678803,0.5139589084456595,-0.18183354790981998,-0.0016910432739746417,0.0928641989487113,-0.026353709419093513,0.179823738428557,-0.05356179324613034,0.08930096024870292
NeutralPosts,0.6101380823418046,0.3145253685678803,1.0,0.4120308369237015,-0.04345015610701886,-0.18159384941422302,-0.15764738056414632,-0.17481415514751614,0.033078601201894854,-0.04771162074826141,0.05807473268466292
MixedPosts,0.47844708650911466,0.5139589084456595,0.4120308369237015,1.0,-0.10881605671847756,-0.1010219671318759,-0.053486341897933325,0.03559885831222939,0.14295266164267403,-0.12945718326717587,0.14939757832413836
ope,-0.14413986397519302,-0.18183354790981998,-0.04345015610701886,-0.10881605671847756,1.0,-0.07581417945718766,0.3053106827175058,0.017626195865550327,-0.20997324710166412,-0.07837008416831089,-0.22736657142918243
con,-0.018505023235230796,-0.0016910432739746417,-0.18159384941422302,-0.1010219671318759,-0.07581417945718766,1.0,0.184559079596992,0.15137217610582618,-0.3676038524232839,0.4017546508543329,-0.4028770230146182
ext,-0.1218739635853852,0.0928641989487113,-0.15764738056414632,-0.053486341897933325,0.3053106827175058,0.184559079596992,1.0,0.1828082375376087,-0.34597986094785116,0.20475873761338123,-0.35148339551778607
agr,-0.27024300865971707,-0.026353709419093513,-0.17481415514751614,0.03559885831222939,0.017626195865550327,0.15137217610582618,0.1828082375376087,1.0,-0.2775350271829806,0.24616180059319911,-0.19315363239396385
neu,0.17636240158501168,0.179823738428557,0.033078601201894854,0.14295266164267403,-0.20997324710166412,-0.3676038524232839,-0.34597986094785116,-0.2775350271829806,1.0,-0.40264498776667157,0.6145502805560522
swl,-0.10798035937867428,-0.05356179324613034,-0.04771162074826141,-0.12945718326717587,-0.07837008416831089,0.4017546508543329,0.20475873761338123,0.24616180059319911,-0.40264498776667157,1.0,-0.462403191605134
CESD_sum,0.14292575264009313,0.08930096024870292,0.05807473268466292,0.14939757832413836,-0.22736657142918243,-0.4028770230146182,-0.35148339551778607,-0.19315363239396385,0.6145502805560522,-0.462403191605134,1.0
