,NegativePosts,PositivePosts,NeutralPosts,MixedPosts,ope,con,ext,agr,neu,swl,CESD_sum
count,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0
mean,15.72972972972973,21.45945945945946,13.27027027027027,4.216216216216216,4.185810810810812,3.1809459459459464,3.103513513513514,3.567162162162161,2.9902702702702704,4.2216216216216225,24.094594594594593
std,14.274507689898348,18.112426060194288,10.361013989222167,5.460368471359886,0.46300982786917527,0.747866680886774,0.8426920860371704,0.6748018892842271,0.8751140402756646,1.4252392512703675,11.863572562385416
min,0.0,1.0,1.0,0.0,3.15,1.5,1.3,1.6,1.05,1.4,2.0
25%,7.25,12.0,6.25,1.0,3.8124999999999996,2.75,2.5125,3.25,2.4,3.0,15.0
50%,12.0,16.5,12.0,3.0,4.16,3.2,3.025,3.55,2.975,4.300000000000001,25.0
75%,19.75,24.0,15.75,5.0,4.6,3.75,3.695,4.0375,3.575,5.549999999999999,33.0
max,98.0,100.0,52.0,40.0,4.95,4.6,4.75,4.85,4.65,6.8,48.0
