,ope,con,ext,agr,neu,swl,CESD_sum
ope,1.00,-0.08,0.31,0.02,-0.21,-0.08,-0.23
con,-0.08,1.00,0.18,0.15,-0.37,0.40,-0.40
ext,0.31,0.18,1.00,0.18,-0.35,0.20,-0.35
agr,0.02,0.15,0.18,1.00,-0.28,0.25,-0.19
neu,-0.21,-0.37,-0.35,-0.28,1.00,-0.40,0.61
swl,-0.08,0.40,0.20,0.25,-0.40,1.00,-0.46
CESD,-0.23,-0.40,-0.35,-0.19,0.61,-0.46,1.00
