userid,emptyTran,negaTran,posiTran,mixTran,neuTran,PosAndNeg,MixAndPos,MixAndNeg,MixAndNeu,NeuAndPos,NeuAndNeg,EmptyAndPos,EmptyAndNeg,EmptyAndMix,EmptyAndNeu,allPosts
009d96a823b6f6c085c092fb177491f6,0.19444444444444445,0.08333333333333333,0.1111111111111111,0.0,0.0,0.09722222222222222,0.027777777777777776,0.0,0.0,0.08333333333333333,0.06944444444444445,0.1527777777777778,0.1388888888888889,0.0,0.041666666666666664,1.0
0724fe854bd455061ba84efecdeff469,0.3253012048192771,0.04819277108433735,0.0963855421686747,0.0,0.03614457831325301,0.18072289156626506,0.0,0.0,0.0,0.024096385542168676,0.08433734939759036,0.08433734939759036,0.0963855421686747,0.024096385542168676,0.0,1.0
088bf0ed841bcc366475b3975eb1b9d2,0.3561643835616438,0.0684931506849315,0.0410958904109589,0.0,0.0,0.136986301369863,0.0,0.0,0.0,0.0958904109589041,0.0547945205479452,0.1643835616438356,0.0547945205479452,0.0,0.0273972602739726,1.0
0b12516100c16f779b152858619786ff,0.10714285714285714,0.07142857142857142,0.2261904761904762,0.0,0.0,0.17857142857142858,0.0,0.0,0.0,0.047619047619047616,0.011904761904761904,0.21428571428571427,0.14285714285714285,0.0,0.0,1.0
0c5d06511ef79fba34da417e8c751fff,0.37142857142857144,0.04285714285714286,0.05714285714285714,0.0,0.014285714285714285,0.14285714285714285,0.0,0.014285714285714285,0.0,0.014285714285714285,0.0,0.2714285714285714,0.04285714285714286,0.014285714285714285,0.014285714285714285,1.0
0e3fdb89c7706b13891170ab2a9017c7,0.29411764705882354,0.014705882352941176,0.11764705882352941,0.0,0.014705882352941176,0.11764705882352941,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.04411764705882353,0.0,0.29411764705882354,0.014705882352941176,0.014705882352941176,0.029411764705882353,1.0
1789589a6d2bba0f09d768f8f3445be5,0.23376623376623376,0.12987012987012986,0.06493506493506493,0.0,0.025974025974025976,0.03896103896103896,0.0,0.012987012987012988,0.012987012987012988,0.05194805194805195,0.15584415584415584,0.11688311688311688,0.14285714285714285,0.0,0.012987012987012988,1.0
193165601dfad67e79ef52b2caf9fd9e,0.5230769230769231,0.03076923076923077,0.07692307692307693,0.0,0.0,0.06153846153846154,0.0,0.015384615384615385,0.0,0.0,0.0,0.12307692307692308,0.1076923076923077,0.046153846153846156,0.015384615384615385,1.0
1c1a61d11a10f9fa967f250095792db3,0.2698412698412698,0.0,0.12698412698412698,0.0,0.015873015873015872,0.06349206349206349,0.0,0.0,0.015873015873015872,0.06349206349206349,0.031746031746031744,0.23809523809523808,0.12698412698412698,0.015873015873015872,0.031746031746031744,1.0
1e84bfe1c9bbd549913aad1bc57c8878,0.22807017543859648,0.017543859649122806,0.12280701754385964,0.0,0.017543859649122806,0.05263157894736842,0.0,0.017543859649122806,0.017543859649122806,0.05263157894736842,0.017543859649122806,0.2807017543859649,0.08771929824561403,0.0,0.08771929824561403,1.0
23cbbe03a89344129e1a6d8419a66d23,0.3142857142857143,0.0,0.18571428571428572,0.0,0.014285714285714285,0.08571428571428572,0.014285714285714285,0.0,0.0,0.04285714285714286,0.014285714285714285,0.2571428571428571,0.04285714285714286,0.014285714285714285,0.014285714285714285,1.0
2549774d68d7ccbcba069afb45c7e237,0.06756756756756757,0.06756756756756757,0.05405405405405406,0.0,0.05405405405405406,0.13513513513513514,0.0,0.013513513513513514,0.0,0.05405405405405406,0.14864864864864866,0.20270270270270271,0.10810810810810811,0.013513513513513514,0.08108108108108109,1.0
