,emptyDays,lyrics,ope,con,ext,agr,neu,swl,CESD_sum
emptyDays,1.0,0.20583463416952605,-0.10831588572240138,-0.05334314992399966,-0.05042474459854126,-0.10253841577341136,0.10628563688529111,-0.0814017579379852,0.11334618391815565
lyrics,0.20583463416952605,1.0,-0.15604499140002062,-0.15115428261481673,-0.03913644837616706,-0.10348337730828483,0.23036323102234102,-0.21680090360655344,0.3282743657306492
ope,-0.10831588572240138,-0.15604499140002062,1.0,-0.08829961452578622,0.3104835377550655,0.07160445633924224,-0.24241707938323256,-0.08441269408898869,-0.20743904377710207
con,-0.05334314992399966,-0.15115428261481673,-0.08829961452578622,1.0,0.17321670055988334,0.11557827736056243,-0.3554263548940657,0.39284844265412333,-0.3777878967261223
ext,-0.05042474459854126,-0.03913644837616706,0.3104835377550655,0.17321670055988334,1.0,0.1805939291955971,-0.3483924574528034,0.1747678001825615,-0.3476448564722739
agr,-0.10253841577341136,-0.10348337730828483,0.07160445633924224,0.11557827736056243,0.1805939291955971,1.0,-0.297076759824388,0.2375373217082264,-0.1811458094440161
neu,0.10628563688529111,0.23036323102234102,-0.24241707938323256,-0.3554263548940657,-0.3483924574528034,-0.297076759824388,1.0,-0.3819142243681889,0.5771951169312375
swl,-0.0814017579379852,-0.21680090360655344,-0.08441269408898869,0.39284844265412333,0.1747678001825615,0.2375373217082264,-0.3819142243681889,1.0,-0.44970900404308906
CESD_sum,0.11334618391815565,0.3282743657306492,-0.20743904377710207,-0.3777878967261223,-0.3476448564722739,-0.1811458094440161,0.5771951169312375,-0.44970900404308906,1.0
