,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
3ac58ad39d81acfe169aadc4815effe6,1,1,2,1,4,2,1,-1,1,4,-1,-1,-1,1,1,1,2,-1,1,-1,3,1,4,1,-1,1,1,1,-1,4,2,-1,-1,-1,2,1,-1,1,-1,-1,-1,4,2,4,-1,2,2,2,1,1,1,-1,1,-1,-1,1,-1,1,3,1
3e6f69fc89da71e8237c717ac218677b,-1,-1,4,2,1,1,-1,-1,1,4,4,-1,-1,3,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,1,-1,1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,4,-1,-1,-1,-1,-1
4104c0b8700d519d1661c8a59b065363,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,2,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,3,4,2,2,-1,4,2,-1,-1,4,-1,-1,4,2,-1,-1,4,2,-1,-1,1,1,4,1,-1,-1,2,-1,1,1,4,1,4
41ef345410ba421410cb4d09c331aec3,4,-1,-1,1,4,1,-1,1,-1,-1,2,2,-1,1,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,2,2,2,2,2,2,-1,-1,-1,4,-1,-1,4,4,4,-1,-1,1,4,4,4
4764518d32334248e6ebbf681a18fd0c,1,4,-1,2,4,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,1,3,3,3,4,1,2,4,1,2,-1,1,-1,-1,1,2,-1,2,1,1,1,2,1,2,1,-1,2,1,2,4,-1,4,2,1,2,1,-1,-1,1,3
4908adae6cf09defb838925defcc5e61,1,4,1,-1,2,1,2,1,-1,2,2,2,2,3,-1,-1,-1,4,3,2,2,1,2,1,2,1,1,-1,2,1,2,2,-1,1,1,1,1,1,-1,-1,2,1,4,2,3,2,3,2,2,-1,2,1,4,-1,1,4,1,1,-1,-1
49fb9fce8f4dc022318b8cd432aad8b6,-1,-1,-1,-1,-1,-1,2,-1,-1,2,4,2,2,-1,1,2,1,1,-1,1,2,2,-1,-1,2,-1,3,-1,-1,1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,2,-1,1,2,1,-1,-1,-1,-1,1,-1,1,1,2,-1
4d7ae0617845c6b30eb85b55a991f4c5,-1,-1,1,-1,1,4,-1,2,-1,-1,-1,-1,4,-1,1,-1,-1,-1,3,2,-1,2,1,4,-1,3,2,-1,-1,-1,4,-1,1,-1,2,1,4,-1,-1,3,-1,-1,-1,-1,1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,4,1,-1,1,4
55a72284594fdda49b22a6610b9b91d6,-1,2,1,-1,1,3,4,1,-1,4,3,1,1,1,-1,2,1,4,1,4,2,-1,-1,-1,-1,1,-1,1,-1,2,3,3,2,4,4,3,1,2,-1,1,-1,2,-1,-1,-1,4,1,3,3,1,-1,2,3,1,4,2,4,1,1,1
57118d9a71e91b6568471ffbd7077415,-1,-1,-1,-1,4,4,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,3,3,-1,1,-1,3,-1,-1,-1,-1,-1,2,-1,-1,2,-1,1,-1,-1,-1,-1,-1,2,1,2,-1,-1,-1,-1,3,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,4
